Individual,bird_width,bird_TotalLength,bird_wingspan,bird_wing,bird_tail,bird_tarsus,bird_finger,beak_culmen,beak_width,beak_height
R_icteronotus_02,36,184.0,215.0,77.0,68.0,26.2,0.0,16.4,10.6,7.6
R_icteronotus_04,22,180.0,242.0,79.0,83.0,24.0,12.0,13.8,9.5,8.4
R_icteronotus_05,38,170.0,253.0,80.0,80.0,26.0,12.4,12.6,10.0,8.5
R_icteronotus_06,34,180.0,260.0,80.0,83.0,22.6,14.0,14.7,12.9,8.3
R_icteronotus_07,36,180.0,245.0,85.0,80.0,21.5,13.8,16.6,13.0,9.1
R_icteronotus_08,0,180.0,250.0,75.0,75.0,21.8,12.1,14.5,12.1,8.8
R_icteronotus_09,40,183.0,232.0,75.0,81.0,26.4,13.1,14.4,11.3,9.0
R_icteronotus_10,33,192.0,235.0,85.0,80.0,23.3,14.9,15.3,11.6,7.2
R_icteronotus_11,35,182.0,270.0,88.0,76.0,23.85,13.27,20.02,14.14,10.01
R_icteronotus_12,36,186.0,260.0,84.0,82.0,24.13,14.41,18.81,13.5,8.52
R_icteronotus_13,35,183.0,248.0,83.0,83.0,17.5,15.01,18.96,13.06,9.31
R_icteronotus_14,37,174.0,244.0,83.0,75.0,23.0,16.0,15.03,10.13,11.0
R_icteronotus_15,32,172.0,242.0,79.0,72.5,20.87,13.5,18.17,11.96,8.32
R_icteronotus_16,38,170.0,270.0,88.0,79.0,23.35,13.53,17.45,11.38,8.72
R_icteronotus_17,36,165.0,272.0,87.0,81.0,21.45,15.45,19.59,11.55,9.86
R_icteronotus_18,34,176.0,273.0,84.0,78.0,21.63,14.28,19.65,12.91,8.82
R_icteronotus_22,32,169.0,265.0,83.0,75.0,23.22,13.39,18.88,11.64,7.85
R_icteronotus_23,36,170.0,260.0,84.0,74.0,22.18,13.64,16.93,11.88,8.95
R_icteronotus_24,35,173.0,268.0,85.0,77.0,20.25,14.94,18.07,12.05,8.06
R_icteronotus_26,32,177.5,249.8,81.5,78.05,23.16,13.8,16.18,11.67,8.67
R_icteronotus_28,20,170.0,250.0,78.0,74.0,21.72,13.83,16.91,12.6,8.17
R_icteronotus_50,41,179.0,246.0,79.0,69.0,24.56,0.0,10.1,14.49,7.65
R_icteronotus_51,32,171.0,241.0,80.0,59.0,23.5,0.0,11.04,14.15,8.25
R_icteronotus_52,35,185.0,224.0,86.0,66.0,19.0,0.0,14.0,9.0,10.0
R_icteronotus_53,31,171.0,233.0,72.0,69.0,21.31,0.0,14.45,11.44,8.41
